# KROME file, 23Sept2014, Opacity Mayer
# Tab.E3 Mayer+2005
# first line indicates the size of the table (15x23)
# then first column is log10(rho), where rho is the density in g/cm3
# second column is log10(T), where T is the temperature in K
# third column is log10(opacity), in units of cm2/g
           15,          23
-13.00       3.50       -8.22 
-13.00       3.60       -6.08 
-13.00       3.70       -3.42 
-13.00       3.80       -1.18 
-13.00       3.90       -0.95 
-13.00       4.00       -1.32 

-12.00       1.80       -4.36
-12.00       1.90       -4.54
-12.00       2.00       -4.71
-12.00       2.10       -4.89
-12.00       2.20       -5.06
-12.00       2.30       -5.22
-12.00       2.40       -5.57
-12.00       2.50       -6.05
-12.00       2.60       -6.13
-12.00       2.70       -6.16
-12.00       2.80       -6.15
-12.00       2.90       -6.05
-12.00       3.00       -5.91
-12.00       3.10       -5.48
-12.00       3.20       -5.27
-12.00       3.30       -7.07
-12.00       3.40       -9.34
-12.00       3.50       -7.72
-12.00       3.60       -5.66
-12.00       3.70       -3.36
-12.00       3.80       -1.00
-12.00       3.90       -0.02
-12.00       4.00       -0.38

-11.00       1.80       -4.36
-11.00       1.90       -4.54
-11.00       2.00       -4.71
-11.00       2.10       -4.89
-11.00       2.20       -5.06
-11.00       2.30       -5.22
-11.00       2.40       -5.45
-11.00       2.50       -5.98
-11.00       2.60       -6.12
-11.00       2.70       -6.16
-11.00       2.80       -6.15
-11.00       2.90       -6.05
-11.00       3.00       -5.91
-11.00       3.10       -5.48
-11.00       3.20       -4.83
-11.00       3.30       -6.32
-11.00       3.40       -8.39
-11.00       3.50       -7.22
-11.00       3.60       -5.19
-11.00       3.70       -3.23
-11.00       3.80       -0.94
-11.00       3.90        0.62 
-11.00       4.00        0.61 

-10.00       1.80       -4.36 
-10.00       1.90       -4.54 
-10.00       2.00       -4.71 
-10.00       2.10       -4.89 
-10.00       2.20       -5.05 
-10.00       2.30       -5.22 
-10.00       2.40       -5.40 
-10.00       2.50       -5.86 
-10.00       2.60       -6.10 
-10.00       2.70       -6.15 
-10.00       2.80       -6.14 
-10.00       2.90       -6.05 
-10.00       3.00       -5.91 
-10.00       3.10       -5.47 
-10.00       3.20       -4.65 
-10.00       3.30       -5.79 
-10.00       3.40       -7.42 
-10.00       3.50       -6.71 
-10.00       3.60       -4.70 
-10.00       3.70       -2.96 
-10.00       3.80       -0.89 
-10.00       3.90        0.89 
-10.00       4.00        1.52 

-9.00        1.80       -4.36 
-9.00        1.90       -4.53 
-9.00        2.00       -4.71 
-9.00        2.10       -4.88 
-9.00        2.20       -5.05 
-9.00        2.30       -5.21 
-9.00        2.40       -5.36 
-9.00        2.50       -5.68 
-9.00        2.60       -6.00 
-9.00        2.70       -6.08 
-9.00        2.80       -6.07 
-9.00        2.90       -5.99 
-9.00        3.00       -5.85 
-9.00        3.10       -5.44 
-9.00        3.20       -4.58 
-9.00        3.30       -5.08 
-9.00        3.40       -6.53 
-9.00        3.50       -6.18 
-9.00        3.60       -4.21 
-9.00        3.70       -2.58 
-9.00        3.80       -0.81 
-9.00        3.90        0.99 
-9.00        4.00        2.13 

-8.00        1.80       -4.36
-8.00        1.90       -4.53
-8.00        2.00       -4.69
-8.00        2.10       -4.85
-8.00        2.20       -4.99
-8.00        2.30       -5.11
-8.00        2.40       -5.23
-8.00        2.50       -5.39
-8.00        2.60       -5.60
-8.00        2.70       -5.68
-8.00        2.80       -5.69
-8.00        2.90       -5.64
-8.00        3.00       -5.52
-8.00        3.10       -5.23
-8.00        3.20       -4.52
-8.00        3.30       -4.33
-8.00        3.40       -5.62
-8.00        3.50       -5.50
-8.00        3.60       -3.71
-8.00        3.70       -2.12
-8.00        3.80       -0.63
-8.00        3.90        1.04 
-8.00        4.00        2.38 

-7.00        1.80       -4.32 
-7.00        1.90       -4.45 
-7.00        2.00       -4.54 
-7.00        2.10       -4.60 
-7.00        2.20       -4.63 
-7.00        2.30       -4.65 
-7.00        2.40       -4.68 
-7.00        2.50       -4.73 
-7.00        2.60       -4.80 
-7.00        2.70       -4.84 
-7.00        2.80       -4.86 
-7.00        2.90       -4.82 
-7.00        3.00       -4.72 
-7.00        3.10       -4.55 
-7.00        3.20       -4.23 
-7.00        3.30       -3.84 
-7.00        3.40       -4.51 
-7.00        3.50       -4.59 
-7.00        3.60       -3.21 
-7.00        3.70       -1.63 
-7.00        3.80       -0.31 
-7.00        3.90        1.12 
-7.00        4.00        2.47 

-6.00        1.80       -4.07
-6.00        1.90       -4.02
-6.00        2.00       -3.95
-6.00        2.10       -3.88
-6.00        2.20       -3.81
-6.00        2.30       -3.77
-6.00        2.40       -3.77
-6.00        2.50       -3.79
-6.00        2.60       -3.83
-6.00        2.70       -3.87
-6.00        2.80       -3.88
-6.00        2.90       -3.85
-6.00        3.00       -3.74
-6.00        3.10       -3.60
-6.00        3.20       -3.46
-6.00        3.30       -3.29
-6.00        3.40       -3.44
-6.00        3.50       -3.69
-6.00        3.60       -2.72
-6.00        3.70       -1.14
-6.00        3.80        0.11 
-6.00        3.90        1.30 
-6.00        4.00        2.54 

-5.00        1.80       -3.34
-5.00        1.90       -3.16
-5.00        2.00       -3.02
-5.00        2.10       -2.92
-5.00        2.20       -2.83
-5.00        2.30       -2.79
-5.00        2.40       -2.78
-5.00        2.50       -2.80
-5.00        2.60       -2.84
-5.00        2.70       -2.87
-5.00        2.80       -2.88
-5.00        2.90       -2.85
-5.00        3.00       -2.75
-5.00        3.10       -2.60
-5.00        3.20       -2.50
-5.00        3.30       -2.41
-5.00        3.40       -2.42
-5.00        3.50       -2.57
-5.00        3.60       -2.23
-5.00        3.70       -0.69
-5.00        3.80        0.57
-5.00        3.90        1.61
-5.00        4.00        2.66

-4.00        1.80       -2.38
-4.00        1.90       -2.18
-4.00        2.00       -2.03
-4.00        2.10       -1.92
-4.00        2.20       -1.84
-4.00        2.30       -1.79
-4.00        2.40       -1.78
-4.00        2.50       -1.80
-4.00        2.60       -1.84
-4.00        2.70       -1.87
-4.00        2.80       -1.88
-4.00        2.90       -1.85
-4.00        3.00       -1.75
-4.00        3.10       -1.60
-4.00        3.20       -1.50
-4.00        3.30       -1.43
-4.00        3.40       -1.43
-4.00        3.50       -1.50
-4.00        3.60       -1.52
-4.00        3.70       -0.33
-4.00        3.80        1.01
-4.00        3.90        2.02
-4.00        4.00        2.89

-3.00        1.80       -1.39
-3.00        1.90       -1.18
-3.00        2.00       -1.03
-3.00        2.10       -0.92
-3.00        2.20       -0.84
-3.00        2.30       -0.79
-3.00        2.40       -0.78
-3.00        2.50       -0.80
-3.00        2.60       -0.84
-3.00        2.70       -0.87
-3.00        2.80       -0.88
-3.00        2.90       -0.85
-3.00        3.00       -0.75
-3.00        3.10       -0.60
-3.00        3.20       -0.50
-3.00        3.30       -0.43
-3.00        3.40       -0.43
-3.00        3.50       -0.47
-3.00        3.60       -0.53
-3.00        3.70        0.12 
-3.00        3.80        1.37 
-3.00        3.90        2.40 
-3.00        4.00        3.23 

-2.00        1.80       -0.39
-2.00        1.90       -0.18
-2.00        2.00       -0.03
-2.00        2.10        0.08
-2.00        2.20        0.16
-2.00        2.30        0.21
-2.00        2.40        0.22
-2.00        2.50        0.20
-2.00        2.60        0.16
-2.00        2.70        0.13
-2.00        2.80        0.12
-2.00        2.90        0.15
-2.00        3.00        0.25
-2.00        3.10        0.40
-2.00        3.20        0.50
-2.00        3.30        0.57
-2.00        3.40        0.57
-2.00        3.50        0.54
-2.00        3.60        0.49
-2.00        3.70        0.71
-2.00        3.80        1.76
-2.00        3.90        2.74
-2.00        4.00        3.54
